ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,City,Event,Medal
18,Timo Antero Aaltonen,M,31.0,189.0,130.0,Finland,FIN,2000 Summer,2000,Sydney,Athletics Men's Shot Put,0
31,Evald rma (rman-),M,24.0,174.0,70.0,Estonia,EST,1936 Summer,1936,Berlin,Athletics Men's Pole Vault,0
34,Jamale (Djamel-) Aarrass (Ahrass-),M,30.0,187.0,76.0,France,FRA,2012 Summer,2012,London,"Athletics Men's 1,500 metres",0
47,Erling Rudolf Aastad,M,22.0,177.0,74.0,Norway,NOR,1920 Summer,1920,Antwerpen,Athletics Men's 4 x 100 metres Relay,0
47,Erling Rudolf Aastad,M,22.0,177.0,74.0,Norway,NOR,1920 Summer,1920,Antwerpen,Athletics Men's Long Jump,0
47,Erling Rudolf Aastad,M,26.0,177.0,74.0,Norway,NOR,1924 Summer,1924,Paris,Athletics Men's Long Jump,0
47,Erling Rudolf Aastad,M,30.0,177.0,74.0,Norway,NOR,1928 Summer,1928,Amsterdam,Athletics Men's Long Jump,0
49,Moonika Aava,F,24.0,168.0,65.0,Estonia,EST,2004 Summer,2004,Athina,Athletics Women's Javelin Throw,0
49,Moonika Aava,F,28.0,168.0,65.0,Estonia,EST,2008 Summer,2008,Beijing,Athletics Women's Javelin Throw,0
52,Patrick Abada,M,22.0,189.0,80.0,France,FRA,1976 Summer,1976,Montreal,Athletics Men's Pole Vault,0
55,Antonio Abadia Beci,M,26.0,170.0,65.0,Spain,ESP,2016 Summer,2016,Rio de Janeiro,"Athletics Men's 5,000 metres",0
67,Mariya Vasilyevna Abakumova (-Tarabina),F,22.0,179.0,80.0,Russia,RUS,2008 Summer,2008,Beijing,Athletics Women's Javelin Throw,Silver
67,Mariya Vasilyevna Abakumova (-Tarabina),F,26.0,179.0,80.0,Russia,RUS,2012 Summer,2012,London,Athletics Women's Javelin Throw,0
86,Jos Manuel Abascal Gmez,M,22.0,182.0,67.0,Spain,ESP,1980 Summer,1980,Moskva,"Athletics Men's 1,500 metres",0
86,Jos Manuel Abascal Gmez,M,26.0,182.0,67.0,Spain,ESP,1984 Summer,1984,Los Angeles,"Athletics Men's 1,500 metres",Bronze
88,Nunu Dzhansuhivna Abashydze (-Myslaieva),F,25.0,168.0,105.0,Soviet Union,URS,1980 Summer,1980,Moskva,Athletics Women's Shot Put,0
91,Emanuele Abate,M,27.0,190.0,80.0,Italy,ITA,2012 Summer,2012,London,Athletics Men's 110 metres Hurdles,0
95,Georgia Abatzidou,F,35.0,155.0,43.0,Greece,GRE,2004 Summer,2004,Athina,Athletics Women's Marathon,0
96,Carlos Rodolfo Abaunza Balladares,M,18.0,168.0,60.0,Nicaragua,NCA,2004 Summer,2004,Athina,Athletics Men's 100 metres,0
97,Carlos Alberto Abaunza,M,16.0,180.0,70.0,Nicaragua,NCA,1976 Summer,1976,Montreal,Athletics Men's High Jump,0
109,Abdul Latif Al-Sayed Abbas Youssef Hashem,M,23.0,176.0,64.0,Kuwait,KUW,1976 Summer,1976,Montreal,Athletics Men's 400 metres Hurdles,0
109,Abdul Latif Al-Sayed Abbas Youssef Hashem,M,23.0,176.0,64.0,Kuwait,KUW,1976 Summer,1976,Montreal,Athletics Men's 4 x 100 metres Relay,0
109,Abdul Latif Al-Sayed Abbas Youssef Hashem,M,27.0,176.0,64.0,Kuwait,KUW,1980 Summer,1980,Moskva,Athletics Men's 400 metres Hurdles,0
110,Abubakar Abbas Abbas,M,20.0,175.0,66.0,Bahrain,BRN,2016 Summer,2016,Rio de Janeiro,Athletics Men's 400 metres,0
111,Aqarab Abbas,M,22.0,190.0,88.0,Pakistan,PAK,1996 Summer,1996,Atlanta,Athletics Men's Hammer Throw,0
114,Essa Abbas Faleh Hashem,M,20.0,160.0,65.0,Kuwait,KUW,1980 Summer,1980,Moskva,Athletics Men's Long Jump,0
115,Ghulam Abbas,M,24.0,181.0,74.0,Pakistan,PAK,1992 Summer,1992,Barcelona,Athletics Men's 400 metres Hurdles,0
117,Maher Abbas,M,22.0,178.0,78.0,Lebanon,LIB,1988 Summer,1988,Seoul,Athletics Men's 400 metres,0
117,Maher Abbas,M,22.0,178.0,78.0,Lebanon,LIB,1988 Summer,1988,Seoul,Athletics Men's 800 metres,0
129,Ruslan Abbasov,M,22.0,181.0,74.0,Azerbaijan,AZE,2008 Summer,2008,Beijing,Athletics Men's 100 metres,0
142,"David ""Dave"" Abbott",M,26.0,183.0,75.0,United States,USA,1928 Summer,1928,Amsterdam,"Athletics Men's 5,000 metres",0
160,Ali Abdalla Afringi,M,25.0,163.0,57.0,Eritrea,ERI,2008 Summer,2008,Beijing,"Athletics Men's 5,000 metres",0
